country,SFTGcode,COW,risk_in_2019,risk_in_2019_20,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,durable.ln,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr,polity2.fl.2,polity2.fl.3
Afghanistan,AFG,700,0.08977,0.2081,1,1,0,0,0,0,1,4.605170186,17.42773567,6.920982589,0.001815611,0,1,1.609437912,0,0.77,10.15346776,1,4,1,2,0,0,0,0.61,0,0,0,1,-0.91,-2.359147778,0,1,0
Democratic Republic of Congo,ZAI,490,0.07177,0.1382,1,1,1,0,0,0,0,4.077537444,18.24004269,8.258329129,0.040775092,1,1,1.098612289,1,0.87,6.042632834,1,4,2,3,0,0,0,0.409,0,0,0,1,-0.695,-2.083497977,0,1,0
Pakistan,PAK,770,0.06699,0.1794,1,1,0,0,0,0,1,4.276666119,19.16421387,7.56306816,0.038072546,0,1,2.397895273,1,0.71,5.293304825,1,4,1,1,1,0,0,0.547,0,0,0,1,-1.337,-3.111683885,0,0,1
Yemen,YEM,679,0.06481,0.184,0,0,0,0,0,1,0,3.36729583,17.16406971,6.549809158,-0.028942513,0,1,0,1,0.135,8.417151837,1,4,1,0,1,0,0,0.231,1,0,0,1,-1.21,-2.80311934,0,1,0
South Sudan,SSD,626,0.06471,0.1559,1,1,1,0,0,0,0,2.079441542,16.2237773,7.981227976,-0.0065,0,1,0,1,0.73,6.285998095,1,3,1,2,1,0,0,0.112,1,0,1,1,-1.664,-1.570665993,0,1,0
Sudan,SUD,625,0.06059,0.121,1,1,1,0,0,0,0,4.143134726,17.5443584,6.488451279,-0.025805434,0,1,2.079441542,1,0.71,5.509388337,1,3,1,1,1,0,0,0.175,0,0,0,1,-0.241,-3.347367661,0,1,0
Somalia,SOM,520,0.05361,0.09386,1,1,1,0,0,0,0,4.077537444,16.53063375,8.752142595,0.024,1,1,1.945910149,0,0.81,7.699842407,1,4,1,1,0,0,0,0.473,0,0,0,1,-0.185,-1.453599661,0,1,0
Egypt,EGY,651,0.04689,0.1375,0,1,0,0,0,1,0,4.189654742,18.39726127,4.254409477,0.037117449,1,1,1.791759469,0,0.18,6.558197803,1,3,1,2,0,0,0,0.182,1,0,0,1,-0.174,-2.508859701,0,1,0
Ethiopia,ETI,530,0.0424,0.07521,1,1,1,0,0,0,0,7.658699558,18.5011347,6.25299928,0.049447025,0,1,0,1,0.72,0,1,4,2,3,0,0,0,0.536,0,0,0,1,0.15,-2.992177896,0,1,0
Cameroon,CAO,471,0.03964,0.07591,0,0,1,0,0,0,0,4.077537444,17.04283729,7.113367698,0.025132565,1,1,3.295836866,1,0.86,6.628041376,0,4,1,4,0,0,0,0.364,0,0,0,1,-0.059,-2.735014067,0,1,0
Angola,ANG,540,0.03113,0.07267,0,1,1,0,0,0,0,3.784189634,17.24138723,7.183313998,-0.024261533,1,1,3.091042453,1,0.79,0,1,4,1,3,0,0,0,0.493,0,0,0,1,-1.283,-2.327697148,0,1,0
India,IND,750,0.02954,0.06735,1,1,0,0,0,0,1,4.276666119,21.0154126,5.468089246,0.050865904,0,1,4.234106505,0,0.42,6.582025139,1,4,1,3,0,1,1,0.779,0,0,0,1,0.383,-2.633498618,0,0,1
Libya,LIB,620,0.02577,0.06851,0,1,0,0,0,1,0,4.219507705,15.74128052,3.193743885,0.057919814,1,1,0,0,0.79,3.80666249,1,3,1,1,0,0,0,0.249,0,0,0,1,1.684,-1.51836757,0,1,0
Republic of the Congo,CON,484,0.02551,0.06544,0,1,1,0,0,0,0,4.077537444,15.50940171,6.016643583,0.001773531,1,1,3.091042453,0,0.87,0,1,4,1,3,1,0,0,0.17,0,0,0,1,0.009,-1.221329382,0,1,0
Nigeria,NIG,475,0.02529,0.05211,1,1,1,0,0,0,0,4.077537444,19.08418788,8.700574694,0.009287356,0,1,1.386294361,0,0.85,7.06646697,0,4,2,3,0,1,1,0.814,0,0,0,1,-0.618,-3.423169604,0,0,1
