country,SFTGcode,COW,risk_in_2020,risk_in_2020_21,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Pakistan,PAK,770,0.05996,0.1589,1,1,0,0,0,0,1,4.290459441,19.19340276,7.56306816,0.98882944,0,1,1,0.71,5.370638028,1,4,1,2,0,0,0,0.652,1,0,0,1,-0.996,3.41569867,0
Afghanistan,AFG,700,0.05315,0.1179,1,1,0,0,0,0,1,4.615120517,17.4541949,6.920982589,2.901228964,0,1,0,0.77,10.30574753,1,4,0,2,0,0,0,0.462,0,0,0,1,-0.733,3.820372019,0
Democratic Republic of Congo,ZAI,490,0.04909,0.1029,1,1,1,0,0,0,0,4.094344562,18.2790085,8.258329129,4.384528881,1,1,1,0.87,5.18178355,1,4,1,4,0,0,0,0.454,0,0,0,1,-0.528,4.208971187,0
Somalia,SOM,520,0.04087,0.07246,1,1,1,0,0,0,0,4.094344562,16.55266023,8.752142595,0.023,1,1,0,0.81,7.573531263,1,4,1,0,0,0,0,0.304,0,0,0,1,-0.191,-1.453599661,0
India,IND,750,0.03614,0.07974,1,1,0,0,0,0,1,4.290459441,21.03545837,5.468089246,5.023873428,0,1,1,0.42,6.173786104,1,4,1,2,0,1,0,0.633,0,0,0,1,-0.492,3.689342774,0
Burma/Myanmar,MYA,775,0.03323,0.06046,1,1,0,1,0,0,0,4.276666119,17.80533536,6.066300355,2.887960733,0,1,0,0.51,6.326149473,1,4,1,2,0,0,0,0.595,1,0,0,1,0.025,4.105762285,0
Nigeria,NIG,475,0.03309,0.07327,1,1,1,0,0,0,0,4.094344562,19.11863435,8.700574694,2.208429277,0,1,0,0.85,7.19142933,1,4,1,3,0,1,1,0.661,0,0,0,1,-0.751,3.496744912,0
Ethiopia,ETI,530,0.03155,0.06453,1,1,1,0,0,0,0,7.659171368,18.53471213,6.25299928,8.281361047,0,1,1,0.72,3.33220451,1,4,2,3,0,0,0,0.443,0,0,0,1,0.909,3.358360223,0
Turkey,TUR,640,0.03064,0.07067,0,1,0,0,1,0,0,4.574710979,18.2395139,3.016620626,0.877433458,1,1,0,0.32,6.293419279,1,4,0,2,0,0,0,0.148,1,0,0,1,-0.245,4.117320254,1
South Sudan,SSD,626,0.03044,0.05938,1,1,1,0,0,0,0,2.197224577,16.21903658,7.981227976,-0.052,0,1,1,0.73,4.709530201,1,4,0,2,0,0,0,0.182,1,0,0,1,-0.86,-1.279205381,0
