country,SFTGcode,ISO3,COW,risk_in_2022,risk_in_2022_23,riskrank,1 in X chance,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Pakistan,PAK,PAK,770,0.06458,0.163,1,6,1,1,0,0,0,0,1,4.317488114,19.22353418,7.362064928,0.043015272,0,1,0,0.71,6.02827852,1,4,1,1,0,0,0,0.635,0,0,0,1,-0.541,-3.037396055,0
Yemen,YEM,YEM,679,0.04198,0.129,2,8,0,0,0,0,0,1,0,3.465735903,17.23106006,6.760177512,-0.023668313,0,1,1,0.135,10.05147643,1,4,0,0,1,0,0,0.242,1,0,0,1,-0.91,-2.450740536,0
Burma/Myanmar,MYA,MMR,775,0.05045,0.108,3,9,1,1,0,1,0,0,0,4.304065093,17.81380598,5.916079783,-0.154898473,0,1,1,0.51,6.939253946,1,3,0,2,1,0,0,0.056,1,0,0,1,-0.513,-2.402674597,1
Chad,CHA,TCD,483,0.03901,0.092,4,11,0,1,1,0,0,0,0,4.127134385,16.64838129,8.209750301,-0.016568137,1,1,1,0.86,6.188264123,0,3,0,3,0,0,1,0.448,0,0,0,1,-1.165,-1.910659378,1
Ethiopia,ETI,ETH,530,0.0425,0.087,5,12,1,1,1,0,0,0,0,7.660114319,18.57719537,5.949789912,0.03978093,0,1,1,0.72,9.095826985,1,3,2,3,0,0,0,0.608,0,0,0,1,0.759,-3.269026414,0
Nigeria,NIG,NGA,475,0.03441,0.079,6,13,1,1,1,0,0,0,0,4.127134385,19.16037378,8.497058314,0.023379527,0,1,0,0.85,7.60090246,1,4,2,3,0,1,1,0.812,0,0,0,1,-0.415,-2.895293336,0
Afghanistan,AFG,AFG,700,0.02928,0.077,7,13,0,1,0,0,0,0,1,4.634728988,17.49647703,6.708203932,-0.022623838,0,1,1,0.77,10.47990427,1,0,0,0,1,0,0,0.213,1,1,1,1,-1.216,-0.910250628,0
India,IND,IND,750,0.03073,0.074,8,14,1,1,0,0,0,0,1,4.317488114,21.04511897,5.196152423,0.067065496,0,1,0,0.42,6.068425588,1,4,1,2,0,1,1,0.793,0,0,0,1,0.078,-2.619467073,0
Sudan,SUD,SDN,625,0.03558,0.073,9,14,1,1,1,0,0,0,0,4.189654742,17.61565769,6.316644679,-0.00573413,0,1,1,0.71,3.465735903,1,3,1,2,0,0,0,0.324,0,0,0,1,2.1,-5.224813318,1
Somalia,SOM,SOM,520,0.04084,0.069,10,15,1,1,1,0,0,0,0,4.127134385,16.61548723,8.526429499,0.020801973,1,1,0,0.81,7.68386398,1,4,1,0,0,0,0,0.466,0,0,0,1,-0.683,-1.648214691,0
Syria,SYR,SYR,652,0.02475,0.064,11,16,1,1,0,0,0,1,0,4.33073334,16.72466306,4.289522118,-0.137931034,0,1,1,0.54,7.211556733,1,1,0,1,1,0,0,0.056,1,0,1,1,-1.432,-2.456556204,0
Iraq,IRQ,IRQ,645,0.02667,0.06,12,17,1,1,0,0,0,1,0,4.49980967,17.52945264,4.615192304,0.01626016,0,1,0,0.37,6.562444094,1,3,1,2,0,0,0,0.309,0,0,0,1,-0.096,-2.33216723,0
Guinea,GUI,GIN,438,0.02734,0.059,13,17,0,1,1,0,0,0,0,4.158883083,16.42636742,7.874007874,0.019061377,1,1,0,0.74,0,1,3,1,4,0,0,0,0.25,0,0,0,1,-0.179,-1.864633326,1
Zimbabwe,ZIM,ZWE,552,0.01796,0.054,14,19,0,1,1,0,0,0,0,3.737669618,16.53612452,6.156297589,0.041529076,0,1,1,0.39,0,1,4,0,4,1,0,0,0.289,0,1,0,1,-0.778,-2.007730047,1
Republic of the Congo,CON,COG,484,0.01979,0.051,15,20,0,1,1,0,0,0,0,4.127134385,15.58180263,5.744562647,-0.035523501,1,1,0,0.87,0,1,4,1,4,1,0,0,0.059,0,0,0,1,0.107,-1.441110798,0
Central African Republic,CEN,CAF,482,0.03092,0.05,16,20,1,1,1,0,0,0,0,4.127134385,15.44856485,8.803408431,0.000738785,1,1,1,0.83,6.834108739,0,4,1,4,0,0,0,0.626,0,0,0,1,-0.724,-2.594261254,0
Thailand,THI,THA,800,0.01963,0.049,17,20,0,1,0,1,0,0,0,6.510258341,18.05680985,2.720294102,0.006230011,0,1,1,0.63,3.663561646,1,4,1,4,0,0,0,0.165,0,0,0,1,0.029,-1.534299209,0
Democratic Republic of Congo,ZAI,COD,490,0.02499,0.043,18,23,1,1,1,0,0,0,0,4.127134385,18.33403611,7.987490219,0.040398219,1,1,1,0.87,6.928537818,1,4,1,3,0,1,1,0.76,0,0,0,1,-1.09,-1.958316024,0
Uganda,UGA,UGA,500,0.01593,0.037,19,27,0,1,1,0,0,0,0,4.094344562,17.6635226,5.648008499,0.021174507,1,1,1,0.93,0,1,4,1,3,0,0,0,0.512,0,1,0,1,0.187,-2.662277382,0
Mozambique,MZM,MOZ,541,0.01746,0.035,20,28,0,1,1,0,0,0,0,3.850147602,17.2840332,7.26636085,0.011657189,0,1,0,0.69,6.568077911,1,4,1,4,0,1,0,0.612,0,0,0,0,1.067,-1.669000012,0
Burundi,BUI,BDI,516,0.01426,0.035,21,29,0,1,1,0,0,0,0,4.094344562,16.33170231,6.212889827,0.008117336,0,1,1,0.3,3.295836866,1,3,1,3,1,0,0,0.131,0,1,0,1,0.073,-3.078659283,0
Indonesia,INS,IDN,850,0.0151,0.034,22,29,0,1,0,1,0,0,0,4.290459441,19.42805,4.415880433,0.023742592,0,1,0,0.74,3.951243719,0,3,1,3,0,1,1,0.623,0,0,0,1,0.019,-2.70497974,0
China,CHN,CHN,710,0.0175,0.031,23,32,0,1,0,1,0,0,0,7.715569535,21.05862532,2.34520788,0.060157777,0,1,1,0.15,0,1,0,1,0,0,0,0,0.218,1,0,0,1,-0.027,-2.789874603,0
Mali,MLI,MLI,432,0.01696,0.03,24,33,0,0,1,0,0,0,0,4.127134385,16.85503914,7.668115805,0.018621615,1,1,1,0.69,6.588926478,1,4,2,3,0,1,1,0.875,0,0,0,1,0.392,-2.101870092,1
Tanzania,TAZ,TZA,510,0.01125,0.028,25,35,0,1,1,0,0,0,0,4.110873864,17.92852086,5.89067059,0.02858727,0,1,0,0.74,0,1,4,1,3,0,1,1,0.666,0,0,0,1,1.078,-2.984511052,0
Libya,LIB,LBY,620,0.01175,0.027,26,38,0,1,0,0,0,1,0,4.262679877,15.780886,3.082207001,0.251875081,1,1,0,0.79,0,1,3,1,1,0,0,0,0.425,0,0,0,1,0.542,-1.976115198,0
Egypt,EGY,EGY,651,0.01274,0.026,27,39,0,1,0,0,0,1,0,4.234106505,18.45470987,4.074309757,0.020738607,1,1,1,0.18,4.727387819,1,3,1,3,0,1,0,0.169,0,0,0,1,-0.484,-2.984851593,0
Rwanda,RWA,RWA,517,0.01077,0.025,28,39,0,1,1,0,0,0,0,4.094344562,16.41018316,5.504543578,0.083025488,0,1,1,0.32,0,1,3,0,3,1,0,0,0.253,0,1,0,1,-0.006,-2.38819542,0
Ivory Coast,IVO,CIV,437,0.01187,0.024,29,41,0,1,1,0,0,0,0,4.127134385,17.11249976,7.609204952,0.051188706,1,1,0,0.82,0,1,4,1,4,0,1,1,0.647,0,0,0,1,-0.058,-2.4407669,0
Iran,IRN,IRN,630,0.01065,0.024,30,42,0,1,0,0,0,1,0,6.255750042,18.25137149,3.33166625,0.007017054,0,1,1,0.67,3.433987204,0,2,1,1,0,1,0,0.413,0,0,0,1,0.419,-2.555544058,0
Niger,NIR,NER,436,0.01467,0.024,31,42,0,0,1,0,0,0,0,4.127134385,17.03947731,6.752777206,0.004464354,1,1,0,0.65,6.124683391,1,4,2,3,0,1,1,0.845,0,0,0,0,1.301,-2.783194708,1
Angola,ANG,AGO,540,0.01259,0.023,32,43,0,1,1,0,0,0,0,3.850147602,17.33721637,6.949820142,-0.0009095,1,1,1,0.79,0,1,4,1,3,0,1,0,0.625,0,0,0,1,-0.008,-2.407435869,0
Cambodia,CAM,KHM,811,0.0121,0.023,33,43,0,1,0,1,0,0,0,4.234106505,16.65021233,4.69041576,0.018263272,0,1,0,0.21,0,1,3,1,3,0,0,0,0.262,0,0,0,1,-1.035,-1.396292226,0
Cameroon,CAO,CMR,471,0.01282,0.022,34,46,0,0,1,0,0,0,0,4.127134385,17.11872947,6.949820142,0.022056059,1,1,1,0.86,6.366470448,0,4,1,4,0,1,1,0.693,0,0,0,1,-0.084,-2.79111156,0
